タイムスタンプ,番号, 1.寝床についてから実際に寝るまで、時間 がかかりましたか？   ,  ２．夜間、睡眠の途中で目が覚めましたか？  ,3． 希望する起床時間より早く目覚めて、それ 以降、眠れないことはありましたか？ , 4.夜の眠りや昼寝も合わせて、睡眠時間は 足りてましたか？   ,5. 全体的な睡眠の質について、どう感じてい ますか？ , 6.日中の気分はいかがでしたか？  , 7.日中の身体的および精神的な活動の状 態は、いかがでしたか？  ,8.日中の眠気はありましたか？   ,自分の睡眠について日ごろ感じていることを自由気に記述ください（少し長めに記述してください）,1. あなたの体調が最高になると思われる生活リズムだけを考えてください。そのうえで、1日のスケジュールを思い通りに組むことができるとしたら、あなたは何時に起きますか？,2. あなたの体調が最高になると思われる生活リズムだけを考えてください。そのうえで、夜の過ごし方を本当に思い通りに計画できるとしたら、あなたは何時に寝ますか？,３．朝、ある特定の時刻に起きなければならないとき、目覚まし時計にどの程度頼りますか？,4. 普段、朝、目が覚めてから容易に起きることができますか？,５．普段、起床後30分間の目覚め具合はどの程度ですか？,6. 普段、起床後30分間の食欲はどの程度ですか？,７．普段、起床後30分間のけだるさはどの程度ですか？,８．次の日になにも予定がないとすれば、寝る時刻をいつもに比べてどうしますか？,９．なにか運動をしようと思い立ちました。友人が、「それならば、週2回1時間ずつで、時間は午前7時から午前8時までがいちばんいい」と助言してくれました。あなたの体調が最高になると思われる生活リズムだけを考えると、それをどの程度実行できると思いますか？, 10．夜、何時になると疲れを感じ、眠くなりますか？,11．精神的にたいへん疲れるうえ、2時間もかかるとわかっているテストを受けて、最高の成績をあげたいとします。1日のスケジュールを本当に思い通りに組むことができ、あなたの体調が最高になると思われる生活リズムだけを考えると、次のうちのどの時間帯にテストを受けますか？,12．午後11時に寝るとすると、そのとき、どの程度疲れていると思いますか？,13．ある理由で寝るのがいつもより何時間か遅くなったが、翌朝、特定の時刻に起きる必要がない場合、あなたは次のどれにもっともよくあてはまりますか？,14．仕事のために午前4時から午前6時まで起きていなければならないが、次の日はなにも予定がないとします。あなたは次のどれにもっともよくあてはまりますか？,15. 2時間のきつい肉体作業をしなければなりません。1日のスケジュールを思い通りに組むことができ、あなたの体調が最高になると思われる生活リズムだけを考えると、次のうちのどの時間帯を選びますか？,16. きつい運動をしようと思い立ちました。友人が、「それならば、週2回1時間ずつで、時間は午後10時から午後11時までがいちばんいい」と助言してくれました。あなたの体調が最高になると思われる生活リズムだけを考えると、それをどの程度実行できると思いますか？,17．労働時間帯を、あなた自身で選ぶことができるとします。おもしろいうえ、出来栄えに応じて報酬がある仕事を5時間連続して（休憩を含む）行なうとき、どの時間帯を選びますか？,18. 1日のどの時間帯に体調が最高であると思いますか？,19. 「朝型か夜型か」と尋ねられたら、あなたは次のうちのどれにあてはまりますか？,,,
9/2/2022 15:30:18,1001,0,0,0,0,0,0,0,0,,5,5,4,4,4,4,4,1,4,5,6,5,4,4,4,2,4,5,6,0,80,明らかな朝型
9/2/2022 15:31:43,1002,1,1,2,2,2,1,1,1,,2,4,3,4,3,3,2,2,2,2,6,5,4,3,4,2,2,4,4,110,61,適度の朝型
9/2/2022 15:32:00,1003,2,0,0,0,1,0,1,3,血糖値が上昇した際に生じる眠気が強すぎる,4,3,1,2,4,1,2,2,3,2,4,3,1,1,4,2,2,2,1,6,44,中間型
9/2/2022 15:32:50,1004,0,0,0,0,1,0,1,0,夜間の暑さで起きてしまうことが多々ある,4,3,1,2,2,3,3,2,3,2,6,0,2,2,3,3,3,3,2,2,49,中間型
9/2/2022 15:33:36,1005,0,0,1,1,0,0,0,1,毎日早寝早起きなので、睡眠に関して困っていることはあまりありません。,5,4,2,3,4,3,3,3,3,3,6,3,3,4,4,1,3,3,6,3,66,適度の朝型
9/2/2022 15:33:54,1006,2,0,0,1,2,0,0,1,就寝時間が遅くなることで起床時間もそれに伴い遅くなっているので生活のリズムが崩れてしまっている。,4,3,1,1,2,1,1,2,1,1,2,5,1,2,3,1,2,2,0,6,35,適度の夜型
9/2/2022 15:34:13,1007,2,0,0,1,0,1,1,2,やりたいことが多くてなかなか寝たい時間に眠ることができず夜更かししてしまう。バイトや遊びなど夜遅く帰った日は興奮していて疲れているにも関わらず寝付くまでが遅い。,4,3,1,3,3,4,4,3,4,3,4,3,3,1,2,3,3,4,6,7,61,適度の朝型
9/2/2022 15:34:21,1008,2,1,0,0,1,0,0,1,最近は寝るまでに時間がかかったり、夜中にふと目がさめてしまうことがある。,3,3,1,2,3,1,3,2,3,4,6,3,2,2,4,3,3,3,2,5,53,中間型
9/2/2022 15:34:33,1009,1,0,0,1,0,1,0,1,ダメだとわかっていても寝る前にスマホを触ってしまい、睡眠の質が落ちてしまっていると感じる。また、周りの人から寝相が悪いとよく言われ、寝言などを言うことが多い。,3,1,1,3,3,4,2,1,3,1,4,3,1,1,3,1,3,3,4,4,45,中間型
9/2/2022 15:34:37,1010,0,1,1,1,1,0,1,0,朝バイトをしているため、夜間の睡眠が少なく、バイト終わりに3時間ほど睡眠をとることが多い。上手く寝付けず、起床予定時刻の1時間前に目覚めることが多い。,5,1,2,4,4,4,4,2,3,4,6,2,3,2,3,2,5,5,6,5,67,適度の朝型
9/2/2022 15:34:39,1011,1,0,1,2,2,1,1,2,どれだけ寝ても日中に眠たくなってしまう。,3,2,1,1,2,3,1,1,3,3,2,5,1,2,3,2,3,3,0,10,41,適度の夜型
9/2/2022 15:34:56,1012,0,0,0,1,2,1,0,2,,4,3,1,2,2,3,1,1,2,1,6,2,1,2,4,2,3,1,2,6,43,中間型
9/2/2022 15:35:11,1013,0,0,0,0,0,0,0,0,夜寝る時間が遅くなってきているので、以前寝ていた早めの時間に眠れるようにしたいです。,4,3,2,3,3,3,3,2,3,3,6,2,1,2,4,3,4,4,6,0,61,適度の朝型
9/2/2022 15:35:28,1014,0,0,0,0,0,0,0,1,睡眠の質はよく、長い時間睡眠をとっている方であると思う,4,3,1,4,3,4,4,3,3,3,6,5,2,3,2,3,3,3,6,1,65,適度の朝型
9/2/2022 15:36:17,1015,0,0,0,1,1,0,0,1,睡眠前のスマホが良くないと感じている,4,3,1,3,3,3,3,2,2,3,4,3,1,3,3,2,4,2,4,3,53,中間型
9/2/2022 15:36:51,1016,1,0,0,1,1,0,0,1,日頃の睡眠の質は悪くないが、睡眠時のみ緊張し、覚醒後首や腕に痺れや筋肉痛が出たりすることがある。,4,3,2,2,4,1,3,1,3,3,6,5,3,4,2,2,3,3,2,4,56,中間型
9/2/2022 15:36:53,1017,0,0,0,0,0,0,0,1,夏休みに入り、寝てばかりである。学校があるときでも、学校を出る30分前に起床したりと、あまり目覚めがよくない。睡眠時間が足りないわけではないのに、なぜだろうと母にも言われる。,4,3,1,2,1,1,2,3,2,3,4,3,1,2,4,2,4,3,2,1,47,中間型
9/2/2022 15:37:20,1018,1,0,0,1,2,1,1,1,疲れていてもすぐに眠りにつくことができない日が増えている気がする。,3,2,1,2,2,3,2,2,2,4,0,3,1,2,1,3,1,3,0,7,37,適度の夜型
9/2/2022 15:38:03,1019,1,0,0,2,2,1,1,1,不安なことがあると2時間以上眠れないことがあります。睡眠が浅く、朝早くに目が覚めてしまうことがよくあります。夏休みでどんどん寝る時間が遅くなってしまっているため、生活リズムを改善したいと思っています。,4,3,1,3,4,3,2,1,3,3,2,2,2,2,3,2,3,3,0,8,46,中間型
9/2/2022 15:38:13,1020,0,0,0,1,0,0,0,1,日中にねむたくならないような睡眠ができるようになりたいです。,3,3,1,2,2,1,2,1,1,4,4,5,1,2,3,4,3,3,4,2,49,中間型
9/2/2022 15:39:16,1021,1,0,0,0,0,0,1,0,最近、睡眠時間が多くとれるようになって、日中の気分が良くなったけど、なかなかベットから出れなくなった。,4,3,1,2,2,1,2,2,3,1,4,3,2,1,2,1,3,2,0,2,39,適度の夜型
9/2/2022 15:41:21,1022,0,0,0,1,1,1,0,0,夏休み中で夜更かしをしてしまうことが増えたため、就寝時間はかなり遅くなってしまっているが、睡眠時間はいつも通りとれていると感じている。しかし、就寝時間が遅いのに睡眠時間がいつも通りだと、お昼まで寝ているので、生活リズムが崩れてしまっている。,4,3,1,3,4,4,3,1,2,2,4,2,1,1,3,2,3,2,0,3,45,中間型
9/2/2022 15:43:04,1023,2,0,2,0,1,0,0,2,精神的に不安定な時はなかなか眠りにつけなかったり、夜中に目が覚めたりすることが多い。また、夏期休暇期間中では就寝時間と起床時間が約2時間ほど遅くなった。,3,3,1,2,3,1,2,1,3,3,4,3,1,4,3,2,2,2,2,7,45,中間型
9/2/2022 15:45:35,1024,0,0,1,1,1,0,0,1,"寝る時間が遅くなる日が多くて満足な睡眠が取れてる日が少ないように感じているが、身体が慣れているのか日常生活にはさほど支障をきたしていないと感じる。
よほど寝心地の悪いところでない限り基本的にどこでも寝ることができると感じている。",3,1,1,2,2,1,1,2,1,3,4,3,3,2,3,2,3,2,0,4,39,適度の夜型
9/2/2022 15:50:24,1025,0,0,0,1,1,0,0,1,寝落ちしてしまうことがある。,4,3,1,3,3,3,3,3,2,3,6,3,2,2,2,4,3,3,2,3,55,中間型
9/2/2022 16:14:04,1026,0,0,1,0,0,0,0,1,朝早く目覚め、二度寝ができないが、少し活動をして、起床後2、３時間後に眠気がくることが多いのでそのタイミングで二度寝をしていて、珍しいタイプだと思うが、満足している。,5,3,3,4,4,3,3,2,3,3,2,3,3,2,4,2,5,3,6,2,63,適度の朝型
